forget_cluster,retain_cluster,forget_radius_p95,frac_within_radius,mean_min_dist
triplet_001,triplet_002,1.380850076675415,1.0,0.6380994319915771
triplet_001,triplet_003,1.380850076675415,1.0,0.6091586351394653
triplet_001,triplet_004,1.380850076675415,1.0,0.5785900950431824
triplet_001,triplet_005,1.380850076675415,1.0,0.6132565140724182
triplet_001,triplet_006,1.380850076675415,1.0,0.5884768962860107
triplet_001,triplet_007,1.380850076675415,1.0,0.578818678855896
triplet_001,triplet_008,1.380850076675415,1.0,0.6370838284492493
triplet_001,triplet_009,1.380850076675415,1.0,0.6353565454483032
triplet_001,triplet_010,1.380850076675415,1.0,0.5737592577934265
triplet_001,triplet_011,1.380850076675415,1.0,1.2440087795257568
triplet_001,triplet_012,1.380850076675415,1.0,1.2468516826629639
triplet_001,triplet_013,1.380850076675415,1.0,1.2424309253692627
triplet_001,triplet_014,1.380850076675415,1.0,1.2368181943893433
triplet_001,triplet_015,1.380850076675415,1.0,1.2409483194351196
triplet_001,triplet_016,1.380850076675415,1.0,1.2473435401916504
triplet_001,triplet_017,1.380850076675415,1.0,1.2449268102645874
triplet_001,triplet_018,1.380850076675415,1.0,1.2431433200836182
triplet_001,triplet_019,1.380850076675415,1.0,1.2416365146636963
triplet_001,triplet_020,1.380850076675415,1.0,1.2405720949172974
triplet_001,triplet_021,1.380850076675415,1.0,1.200708270072937
triplet_001,triplet_022,1.380850076675415,1.0,1.1959651708602905
triplet_001,triplet_023,1.380850076675415,1.0,1.1985046863555908
triplet_001,triplet_024,1.380850076675415,1.0,1.1955788135528564
triplet_001,triplet_025,1.380850076675415,1.0,1.1958739757537842
triplet_001,triplet_026,1.380850076675415,1.0,1.2005208730697632
triplet_001,triplet_027,1.380850076675415,1.0,1.2014013528823853
triplet_001,triplet_028,1.380850076675415,1.0,1.1908679008483887
triplet_001,triplet_029,1.380850076675415,1.0,1.1991677284240723
triplet_001,triplet_030,1.380850076675415,1.0,1.19513738155365
triplet_001,triplet_031,1.380850076675415,0.98,1.2990483045578003
triplet_001,triplet_032,1.380850076675415,0.98,1.292710304260254
triplet_001,triplet_033,1.380850076675415,0.98,1.292859673500061
triplet_001,triplet_034,1.380850076675415,0.99,1.2938967943191528
triplet_001,triplet_035,1.380850076675415,0.99,1.3007601499557495
triplet_001,triplet_036,1.380850076675415,0.98,1.2894885540008545
triplet_001,triplet_037,1.380850076675415,0.99,1.2973917722702026
triplet_001,triplet_038,1.380850076675415,0.98,1.2942732572555542
triplet_001,triplet_039,1.380850076675415,0.98,1.2910027503967285
triplet_001,triplet_040,1.380850076675415,1.0,1.2932674884796143
triplet_001,triplet_041,1.380850076675415,1.0,1.1842602491378784
triplet_001,triplet_042,1.380850076675415,1.0,1.1737525463104248
triplet_001,triplet_043,1.380850076675415,1.0,1.173567295074463
triplet_001,triplet_044,1.380850076675415,1.0,1.1725356578826904
triplet_001,triplet_045,1.380850076675415,1.0,1.1774742603302002
triplet_001,triplet_046,1.380850076675415,1.0,1.1803267002105713
triplet_001,triplet_047,1.380850076675415,1.0,1.1849143505096436
triplet_001,triplet_048,1.380850076675415,1.0,1.1763501167297363
triplet_001,triplet_049,1.380850076675415,1.0,1.1770628690719604
triplet_001,triplet_050,1.380850076675415,1.0,1.1864371299743652
triplet_001,triplet_051,1.380850076675415,0.85,1.3328750133514404
triplet_001,triplet_052,1.380850076675415,0.86,1.3327876329421997
triplet_001,triplet_053,1.380850076675415,0.83,1.3310341835021973
triplet_001,triplet_054,1.380850076675415,0.85,1.342320203781128
triplet_001,triplet_055,1.380850076675415,0.84,1.3348846435546875
triplet_001,triplet_056,1.380850076675415,0.85,1.335118293762207
triplet_001,triplet_057,1.380850076675415,0.91,1.3343939781188965
triplet_001,triplet_058,1.380850076675415,0.89,1.3243287801742554
triplet_001,triplet_059,1.380850076675415,0.82,1.339876651763916
triplet_001,triplet_060,1.380850076675415,0.88,1.3315597772598267
triplet_001,triplet_061,1.380850076675415,0.98,1.2927958965301514
triplet_001,triplet_062,1.380850076675415,0.99,1.2940200567245483
triplet_001,triplet_063,1.380850076675415,0.98,1.2894997596740723
triplet_001,triplet_064,1.380850076675415,0.97,1.292855978012085
triplet_001,triplet_065,1.380850076675415,0.95,1.2808696031570435
triplet_001,triplet_066,1.380850076675415,0.99,1.2964481115341187
triplet_001,triplet_067,1.380850076675415,0.98,1.2887530326843262
triplet_001,triplet_068,1.380850076675415,0.97,1.2965904474258423
triplet_001,triplet_069,1.380850076675415,0.96,1.2894015312194824
triplet_001,triplet_070,1.380850076675415,0.97,1.2847189903259277
triplet_001,triplet_071,1.380850076675415,1.0,1.2481783628463745
triplet_001,triplet_072,1.380850076675415,1.0,1.2438323497772217
triplet_001,triplet_073,1.380850076675415,1.0,1.2396845817565918
triplet_001,triplet_074,1.380850076675415,1.0,1.2558634281158447
triplet_001,triplet_075,1.380850076675415,1.0,1.2408326864242554
triplet_001,triplet_076,1.380850076675415,1.0,1.2440953254699707
triplet_001,triplet_077,1.380850076675415,1.0,1.2432259321212769
triplet_001,triplet_078,1.380850076675415,1.0,1.2538172006607056
triplet_001,triplet_079,1.380850076675415,1.0,1.2426143884658813
triplet_001,triplet_080,1.380850076675415,1.0,1.2449572086334229
triplet_001,triplet_081,1.380850076675415,0.96,1.2987658977508545
triplet_001,triplet_082,1.380850076675415,0.99,1.290364384651184
triplet_001,triplet_083,1.380850076675415,0.99,1.2909812927246094
triplet_001,triplet_084,1.380850076675415,1.0,1.3041093349456787
triplet_001,triplet_085,1.380850076675415,0.99,1.3067195415496826
triplet_001,triplet_086,1.380850076675415,0.99,1.295952558517456
triplet_001,triplet_087,1.380850076675415,1.0,1.2926961183547974
triplet_001,triplet_088,1.380850076675415,0.99,1.2986468076705933
triplet_001,triplet_089,1.380850076675415,0.96,1.2989040613174438
triplet_001,triplet_090,1.380850076675415,1.0,1.288163423538208
triplet_001,triplet_091,1.380850076675415,1.0,1.328652024269104
triplet_001,triplet_092,1.380850076675415,0.99,1.3237478733062744
triplet_001,triplet_093,1.380850076675415,0.98,1.328091025352478
triplet_001,triplet_094,1.380850076675415,0.96,1.327903151512146
triplet_001,triplet_095,1.380850076675415,0.97,1.3241747617721558
triplet_001,triplet_096,1.380850076675415,0.95,1.3239319324493408
triplet_001,triplet_097,1.380850076675415,0.98,1.3232768774032593
triplet_001,triplet_098,1.380850076675415,0.95,1.3291401863098145
triplet_001,triplet_099,1.380850076675415,0.98,1.3286700248718262
triplet_001,triplet_100,1.380850076675415,0.96,1.3254112005233765
triplet_002,triplet_001,1.363663911819458,1.0,0.6273121237754822
triplet_002,triplet_003,1.363663911819458,1.0,0.6303585767745972
triplet_002,triplet_004,1.363663911819458,1.0,0.5845596790313721
triplet_002,triplet_005,1.363663911819458,1.0,0.6083617806434631
triplet_002,triplet_006,1.363663911819458,1.0,0.5937556624412537
triplet_002,triplet_007,1.363663911819458,1.0,0.6126881241798401
triplet_002,triplet_008,1.363663911819458,1.0,0.6158795952796936
triplet_002,triplet_009,1.363663911819458,1.0,0.6665540933609009
triplet_002,triplet_010,1.363663911819458,1.0,0.5753918886184692
triplet_002,triplet_011,1.363663911819458,0.99,1.2445536851882935
triplet_002,triplet_012,1.363663911819458,1.0,1.2493293285369873
