forget_cluster,emb_variance_mean,emb_variance_max,pairwise_sim_mean,pairwise_sim_std,pairwise_sim_q90,pairwise_eucl_mean,centroid_norm,emb_norm_mean,emb_norm_std,effective_rank,isotropy,spread_over_centroid
triplet_001,0.0017538232496008,0.0048788441345095,0.312787652015686,0.1863297820091247,0.5657156109809875,1.1603107452392578,0.5714296698570251,1.0,3.9537248142096366e-08,24.594737189513346,0.0,2.0305399009637948
triplet_002,0.0016773244133219,0.0041212486103177,0.342762678861618,0.1774133592844009,0.5696076154708862,1.1349990367889404,0.5965797305107117,1.0,3.6742768827480183e-08,27.467944375287875,0.0,1.902510224102496
triplet_003,0.0016852980479598,0.0046715456992387,0.339638352394104,0.1885602325201034,0.5679211616516113,1.1362799406051636,0.5940080285072327,1.0,4.0425838676583226e-08,26.03916251844661,0.0,1.9129033381260572
triplet_004,0.0017440918600186,0.0052007781341671,0.3166008293628692,0.2038855552673339,0.5957993865013123,1.153300166130066,0.5746901035308838,1.0,2.9200192486200652e-08,24.133522329402265,0.0,2.0068209962973333
triplet_005,0.0017002625390887,0.0040922854095697,0.3337747156620025,0.186964139342308,0.5686762928962708,1.1422091722488403,0.5891512632369995,1.0,4.460403246753231e-08,26.46144116911065,0.0,1.9387366938214652
triplet_006,0.0016589807346463,0.0037954265717417,0.34995037317276,0.1717238873243332,0.5767026543617249,1.12899649143219,0.602454423904419,1.0,3.5762788286319847e-08,25.915138214595785,0.0,1.873994856101029
triplet_007,0.0017053793417289,0.0042872317135334,0.331769734621048,0.1821518093347549,0.576242208480835,1.144384741783142,0.5874813199043274,1.0,4.380029139383623e-08,27.133440326471057,0.0,1.9479508590494548
triplet_008,0.0016734232194721,0.0034845494665205,0.3442913889884949,0.1681561917066574,0.5638173222541809,1.1345387697219849,0.597834050655365,1.0,3.0392524053013403e-08,27.513012634790115,0.0,1.8977486619878323
triplet_009,0.0015735259512439,0.0037443828769028,0.3834347128868103,0.1820267289876938,0.608762264251709,1.0968828201293943,0.6290993690490723,1.0,3.264680970005429e-08,27.55710608870005,0.0,1.743576411127879
triplet_010,0.0017413707682862,0.0046272175386548,0.3176669478416443,0.1807589828968048,0.5473690629005432,1.1570829153060913,0.5755984783172607,1.0,4.0425838676583226e-08,26.10059512278902,0.0,2.010225806518421
triplet_011,0.0019359722500666,0.0059840558096766,0.2414149641990661,0.2490031719207763,0.6209444999694824,1.212132453918457,0.5065438747406006,1.0,3.264680970005429e-08,20.98442222864997,0.0,2.392946621927244
triplet_012,0.0019400325836613,0.0077506778761744,0.239823967218399,0.2535474598407745,0.6365624070167542,1.2125869989395142,0.505002498626709,1.0,2.9200192486200652e-08,20.74045916113495,0.0,2.40115049378368
triplet_013,0.0019676710944622,0.0061428844928741,0.228994145989418,0.2551766633987427,0.606135368347168,1.2219423055648804,0.4943827092647552,1.0,2.9200192486200652e-08,20.76644695455161,0.0,2.471652593558844
triplet_014,0.0019358125282451,0.0076746409758925,0.2414775788784027,0.2401781380176544,0.6197870969772339,1.2132564783096311,0.5066043734550476,1.0,3.264680970005429e-08,21.55059247958675,0.0,2.3948795981274467
triplet_015,0.001987854251638,0.007609776686877,0.2210856825113296,0.2347470223903656,0.5763816833496094,1.2312530279159546,0.4864812195301056,1.0,2.52881093842916e-08,21.0974835773394,0.0,2.530936403064495
triplet_016,0.0018578780582174,0.0059921159408986,0.2720151543617248,0.2575167119503021,0.6614336967468262,1.184227705001831,0.5353268384933472,1.0,3.862822239852903e-08,21.24277349345014,0.0,2.212158292557843
triplet_017,0.0019391984678804,0.0071370084770023,0.2401508241891861,0.2598669826984405,0.654274046421051,1.210698127746582,0.5053195357322693,1.0,3.4755181843593164e-08,20.04262729079373,0.0,2.3959060399122185
triplet_018,0.0019700082484632,0.0087278094142675,0.2280784696340561,0.2330783307552337,0.5865580439567566,1.225857138633728,0.4934743046760559,1.0,3.0392524053013403e-08,21.806596427899223,0.0,2.4841357027463653
triplet_019,0.0019246487645432,0.006398047786206,0.2458519786596298,0.2428743094205856,0.6332324147224426,1.2090908288955688,0.5108178853988647,1.0,3.1539812539449485e-08,21.04800071291526,0.0,2.3669704281232598
triplet_020,0.0019543140660971,0.0068678110837936,0.2342279702425003,0.2519985437393188,0.5722116231918335,1.2175679206848145,0.499543160200119,1.0,3.0392524053013403e-08,21.906462586887564,0.0,2.4373628100463867
triplet_021,0.0019691607449203,0.0068033207207918,0.2284104973077774,0.2080539613962173,0.5445842742919922,1.2287874221801758,0.4938038885593414,1.0,3.4755181843593164e-08,22.968133604089036,0.0,2.4884117979814366
triplet_022,0.0019812989048659,0.0062106172554194,0.2236543893814087,0.1895749419927597,0.5044650435447693,1.235288143157959,0.4890616238117218,1.0,3.0392524053013403e-08,24.84976875602895,0.0,2.5258333163215405
triplet_023,0.002033628989011,0.0059112482704222,0.2031494826078415,0.1926749050617218,0.488211840391159,1.251605749130249,0.4680667221546173,1.0,3.6742768827480183e-08,24.766166027685667,0.0,2.673990031525471
triplet_024,0.0019996867049485,0.006546901538968,0.2164492458105087,0.205504760146141,0.5382065176963806,1.2389793395996094,0.4817886054515838,1.0,3.4755181843593164e-08,23.13481311146154,0.0,2.571624412823764
triplet_025,0.0020234014373272,0.0063780690543353,0.2071569114923477,0.1875241994857788,0.4723052084445953,1.2486721277236938,0.4722433388233185,1.0,4.5393544922944784e-08,24.975481152503583,0.0,2.644128619865748
triplet_026,0.0019829056691378,0.007404759991914,0.2230247259140014,0.2027149051427841,0.5364909172058105,1.2336896657943726,0.4884303510189056,1.0,3.5762788286319847e-08,23.36904895779625,0.0,2.525825152390295
triplet_027,0.0019694252405315,0.0071764523163437,0.2283068150281906,0.2100564539432525,0.5294472575187683,1.2286744117736816,0.4937009811401367,1.0,3.4755181843593164e-08,23.737085198933503,0.0,2.4887015799243937
triplet_028,0.0019914105068892,0.0073818410746753,0.2196922302246093,0.2024422734975814,0.5322985053062439,1.2365797758102417,0.4850756227970123,1.0,3.862822239852903e-08,23.233826492790065,0.0,2.549251534595686
triplet_029,0.0019729631021618,0.0068560116924345,0.2269205898046493,0.1923480033874511,0.5086578726768494,1.2320857048034668,0.4923232495784759,1.0,3.862822239852903e-08,24.54394498700319,0.0,2.502595004112381
triplet_030,0.0019765300676226,0.0057489979080855,0.2255228906869888,0.1902523040771484,0.4954158961772918,1.233790636062622,0.4909301698207855,1.0,3.371747681057968e-08,25.422242043593187,0.0,2.5131693098287653
triplet_031,0.0019753079395741,0.0038463682867586,0.2260018438100814,0.1216998100280761,0.3676424324512481,1.239854097366333,0.4914079904556274,1.0,3.9537248142096366e-08,33.98261467468956,0.0,2.5230645847186075
triplet_032,0.0020443256944417,0.0040532317943871,0.1989581137895584,0.1298161149024963,0.3571391701698303,1.2608762979507446,0.4636582434177398,1.0,2.7957057113781048e-08,32.465274127211174,0.0,2.7194087797437025
triplet_033,0.0019763752352446,0.0053277765400707,0.2255836725234985,0.1299666613340377,0.3709970712661743,1.239347219467163,0.4909908175468445,1.0,3.862822239852903e-08,32.195109789532495,0.0,2.5241759625146543
