model_triplet,eval_triplet,sample_index,same_cluster,cos_sim_to_centroid,cos_sim_to_nearest,cos_sim_top3_mean,cos_sim_top5_mean,cos_sim_mean,cos_sim_std,eucl_to_centroid,eucl_to_nearest,proj_on_centroid,angle_to_centroid_deg,forget_emb_variance_mean,forget_mean_pairwise_similarity,forget_centroid_norm,forget_spread,target_emb_norm,base_ppl,unlearn_ppl,log_ppl_ratio
triplet_001,triplet_001,0,1,0.5510392785072327,0.5432570576667786,0.5081796050071716,0.49572619795799255,0.3148801624774933,0.13883566856384277,0.834728479385376,0.9557645320892334,0.5510392785072327,56.56165893221049,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,13.33,15.68,0.16236888073164446
triplet_001,triplet_001,1,1,0.6813490986824036,0.8252098560333252,0.7682645320892334,0.7321845889091492,0.3893430829048157,0.18844884634017944,0.7401659488677979,0.5912529230117798,0.6813491582870483,47.05084346541973,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,9.42,12.2,0.2586008631509391
triplet_001,triplet_001,2,1,0.6978189945220947,0.7887150645256042,0.7734091877937317,0.7664313912391663,0.39875441789627075,0.2031954973936081,0.7273396849632263,0.6500530242919922,0.6978189945220947,45.74771751494328,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,20.17,25.63,0.2395671884098592
triplet_001,triplet_001,3,1,0.5891411304473877,0.6332746148109436,0.6062831878662109,0.5786116719245911,0.3366526663303375,0.1706177294254303,0.8082242608070374,0.8564172983169556,0.5891410112380981,53.903916125484784,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,0.9999999403953552,21.08,23.26,0.09841042341735687
triplet_001,triplet_001,4,1,0.6722804307937622,0.6738419532775879,0.6493737101554871,0.634721577167511,0.38416096568107605,0.14292068779468536,0.7471345067024231,0.807661235332489,0.672280490398407,47.75668553571374,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,18.02,20.41,0.12454272464156155
triplet_001,triplet_001,5,1,0.6713619828224182,0.8075869679450989,0.7738731503486633,0.7382290959358215,0.3836361765861511,0.1744893193244934,0.7478365898132324,0.6203432083129883,0.6713619232177734,47.82772948839634,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,0.9999999403953552,10.75,11.94,0.10498835339078415
triplet_001,triplet_001,6,1,0.4833204448223114,0.7005422711372375,0.5712986588478088,0.5214312672615051,0.2761836349964142,0.11804822832345963,0.8798662424087524,0.7738963961601257,0.4833204448223114,61.0975089872043,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,7.58,8.07,0.0626402826275771
triplet_001,triplet_001,7,1,0.5439923405647278,0.7470826506614685,0.6865268349647522,0.6415603756904602,0.31085339188575745,0.1859062761068344,0.8395386338233948,0.7112213373184204,0.5439923405647278,57.044169421420165,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,9.66,10.68,0.10037918530762203
triplet_001,triplet_001,8,1,0.6368088126182556,0.6866240501403809,0.6574022173881531,0.6323138475418091,0.3638914227485657,0.17944227159023285,0.7737887501716614,0.79167640209198,0.6368086934089661,50.44572981030267,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,0.9999999403953552,20.34,27.97,0.3185431165934545
triplet_001,triplet_001,9,1,0.6030486822128296,0.7067180275917053,0.6429528594017029,0.6095792651176453,0.34459996223449707,0.17117564380168915,0.7983307838439941,0.7658749222755432,0.6030486226081848,52.91144311601795,0.0017538233660161495,0.31278765201568604,0.5714296698570251,1.1603107452392578,1.0,31.61,34.43,0.085454751122906
