forget_cluster,retain_cluster,forget_radius_p95,frac_within_radius,mean_min_dist
triplet_001,triplet_002,1.380850076675415,1.0,0.6380993723869324
triplet_001,triplet_003,1.380850076675415,1.0,0.6091586351394653
triplet_001,triplet_004,1.380850076675415,1.0,0.5785900950431824
triplet_001,triplet_005,1.380850076675415,1.0,0.6132565140724182
triplet_001,triplet_011,1.380850076675415,1.0,1.2440088987350464
triplet_001,triplet_012,1.380850076675415,1.0,1.2468515634536743
triplet_001,triplet_013,1.380850076675415,1.0,1.2424308061599731
triplet_001,triplet_014,1.380850076675415,1.0,1.2368181943893433
triplet_001,triplet_015,1.380850076675415,1.0,1.2409483194351196
triplet_001,triplet_021,1.380850076675415,1.0,1.200708270072937
triplet_001,triplet_022,1.380850076675415,1.0,1.1959651708602905
triplet_001,triplet_023,1.380850076675415,1.0,1.1985046863555908
triplet_001,triplet_024,1.380850076675415,1.0,1.1955788135528564
triplet_001,triplet_025,1.380850076675415,1.0,1.1958739757537842
triplet_001,triplet_031,1.380850076675415,0.98,1.2990483045578003
triplet_001,triplet_032,1.380850076675415,0.98,1.292710304260254
triplet_001,triplet_033,1.380850076675415,0.98,1.292859673500061
triplet_001,triplet_034,1.380850076675415,0.99,1.2938967943191528
triplet_001,triplet_035,1.380850076675415,0.99,1.3007601499557495
triplet_001,triplet_041,1.380850076675415,1.0,1.1842602491378784
triplet_001,triplet_042,1.380850076675415,1.0,1.1737525463104248
triplet_001,triplet_043,1.380850076675415,1.0,1.173567295074463
triplet_001,triplet_044,1.380850076675415,1.0,1.1725356578826904
triplet_001,triplet_045,1.380850076675415,1.0,1.1774743795394897
triplet_001,triplet_051,1.380850076675415,0.85,1.3328752517700195
triplet_001,triplet_052,1.380850076675415,0.86,1.3327876329421997
triplet_001,triplet_053,1.380850076675415,0.83,1.3310341835021973
triplet_001,triplet_054,1.380850076675415,0.85,1.342320203781128
triplet_001,triplet_055,1.380850076675415,0.84,1.3348846435546875
triplet_001,triplet_061,1.380850076675415,0.98,1.2927958965301514
triplet_001,triplet_062,1.380850076675415,0.99,1.2940200567245483
triplet_001,triplet_063,1.380850076675415,0.98,1.2894999980926514
triplet_001,triplet_064,1.380850076675415,0.97,1.292855978012085
triplet_001,triplet_065,1.380850076675415,0.95,1.2808696031570435
triplet_001,triplet_071,1.380850076675415,1.0,1.248178482055664
triplet_001,triplet_072,1.380850076675415,1.0,1.2438323497772217
triplet_001,triplet_073,1.380850076675415,1.0,1.2396845817565918
triplet_001,triplet_074,1.380850076675415,1.0,1.2558635473251343
triplet_001,triplet_075,1.380850076675415,1.0,1.2408326864242554
triplet_001,triplet_081,1.380850076675415,0.96,1.298766016960144
triplet_001,triplet_082,1.380850076675415,0.99,1.290364384651184
triplet_001,triplet_083,1.380850076675415,0.99,1.2909812927246094
triplet_001,triplet_084,1.380850076675415,1.0,1.3041093349456787
triplet_001,triplet_085,1.380850076675415,0.99,1.3067195415496826
triplet_001,triplet_091,1.380850076675415,1.0,1.328652024269104
triplet_001,triplet_092,1.380850076675415,0.99,1.323747992515564
triplet_001,triplet_093,1.380850076675415,0.98,1.328091025352478
triplet_001,triplet_094,1.380850076675415,0.96,1.327903151512146
triplet_001,triplet_095,1.380850076675415,0.97,1.3241747617721558
triplet_002,triplet_001,1.363663911819458,1.0,0.6273121237754822
triplet_002,triplet_003,1.363663911819458,1.0,0.6303585767745972
triplet_002,triplet_004,1.363663911819458,1.0,0.5845596790313721
triplet_002,triplet_005,1.363663911819458,1.0,0.6083617806434631
triplet_002,triplet_011,1.363663911819458,0.99,1.244553565979004
triplet_002,triplet_012,1.363663911819458,1.0,1.2493293285369873
triplet_002,triplet_013,1.363663911819458,0.99,1.2451484203338623
triplet_002,triplet_014,1.363663911819458,1.0,1.2414158582687378
triplet_002,triplet_015,1.363663911819458,1.0,1.242734432220459
triplet_002,triplet_021,1.363663911819458,1.0,1.2105002403259277
triplet_002,triplet_022,1.363663911819458,1.0,1.2093605995178223
triplet_002,triplet_023,1.363663911819458,1.0,1.211949348449707
triplet_002,triplet_024,1.363663911819458,1.0,1.208832025527954
triplet_002,triplet_025,1.363663911819458,1.0,1.2081868648529053
triplet_002,triplet_031,1.363663911819458,0.99,1.281351923942566
triplet_002,triplet_032,1.363663911819458,0.99,1.2770804166793823
triplet_002,triplet_033,1.363663911819458,0.99,1.2804490327835083
triplet_002,triplet_034,1.363663911819458,0.99,1.2802131175994873
triplet_002,triplet_035,1.363663911819458,1.0,1.282994031906128
triplet_002,triplet_041,1.363663911819458,1.0,1.165972113609314
triplet_002,triplet_042,1.363663911819458,1.0,1.1561956405639648
triplet_002,triplet_043,1.363663911819458,1.0,1.1573086977005005
triplet_002,triplet_044,1.363663911819458,1.0,1.1555441617965698
triplet_002,triplet_045,1.363663911819458,1.0,1.1620575189590454
triplet_002,triplet_051,1.363663911819458,0.9,1.319082498550415
triplet_002,triplet_052,1.363663911819458,0.82,1.3243107795715332
triplet_002,triplet_053,1.363663911819458,0.86,1.320824384689331
triplet_002,triplet_054,1.363663911819458,0.83,1.3295021057128906
triplet_002,triplet_055,1.363663911819458,0.78,1.3221137523651123
triplet_002,triplet_061,1.363663911819458,0.91,1.2887845039367676
triplet_002,triplet_062,1.363663911819458,0.93,1.2923252582550049
triplet_002,triplet_063,1.363663911819458,0.93,1.289066195487976
triplet_002,triplet_064,1.363663911819458,0.91,1.2896977663040161
triplet_002,triplet_065,1.363663911819458,0.93,1.2753162384033203
triplet_002,triplet_071,1.363663911819458,1.0,1.2544063329696655
triplet_002,triplet_072,1.363663911819458,1.0,1.2470859289169312
triplet_002,triplet_073,1.363663911819458,1.0,1.2454551458358765
triplet_002,triplet_074,1.363663911819458,1.0,1.2562370300292969
triplet_002,triplet_075,1.363663911819458,1.0,1.245600700378418
triplet_002,triplet_081,1.363663911819458,0.93,1.3002287149429321
triplet_002,triplet_082,1.363663911819458,0.95,1.2898385524749756
triplet_002,triplet_083,1.363663911819458,0.94,1.2921146154403687
triplet_002,triplet_084,1.363663911819458,0.96,1.3024598360061646
triplet_002,triplet_085,1.363663911819458,0.92,1.3049784898757935
triplet_002,triplet_091,1.363663911819458,0.88,1.331743597984314
triplet_002,triplet_092,1.363663911819458,0.87,1.328596591949463
triplet_002,triplet_093,1.363663911819458,0.8,1.3368468284606934
triplet_002,triplet_094,1.363663911819458,0.86,1.330392599105835
triplet_002,triplet_095,1.363663911819458,0.86,1.3285882472991943
triplet_003,triplet_001,1.3855375051498413,1.0,0.6105460524559021
triplet_003,triplet_002,1.3855375051498413,1.0,0.5992881655693054
triplet_003,triplet_004,1.3855375051498413,1.0,0.5531418323516846
triplet_003,triplet_005,1.3855375051498413,1.0,0.6395140290260315
triplet_003,triplet_011,1.3855375051498413,1.0,1.242629885673523
triplet_003,triplet_012,1.3855375051498413,1.0,1.2451155185699463
triplet_003,triplet_013,1.3855375051498413,1.0,1.2380361557006836
triplet_003,triplet_014,1.3855375051498413,1.0,1.2400294542312622
triplet_003,triplet_015,1.3855375051498413,1.0,1.2364070415496826
triplet_003,triplet_021,1.3855375051498413,1.0,1.2206591367721558
triplet_003,triplet_022,1.3855375051498413,1.0,1.2156078815460205
triplet_003,triplet_023,1.3855375051498413,1.0,1.2168067693710327
triplet_003,triplet_024,1.3855375051498413,1.0,1.2170891761779785
triplet_003,triplet_025,1.3855375051498413,1.0,1.2117043733596802
triplet_003,triplet_031,1.3855375051498413,1.0,1.2955775260925293
triplet_003,triplet_032,1.3855375051498413,1.0,1.2950162887573242
triplet_003,triplet_033,1.3855375051498413,1.0,1.2905631065368652
triplet_003,triplet_034,1.3855375051498413,1.0,1.2931536436080933
triplet_003,triplet_035,1.3855375051498413,1.0,1.2985249757766724
triplet_003,triplet_041,1.3855375051498413,1.0,1.1784050464630127
triplet_003,triplet_042,1.3855375051498413,1.0,1.167002558708191
triplet_003,triplet_043,1.3855375051498413,1.0,1.1674470901489258
triplet_003,triplet_044,1.3855375051498413,1.0,1.1648571491241455
triplet_003,triplet_045,1.3855375051498413,1.0,1.1728824377059937
triplet_003,triplet_051,1.3855375051498413,0.94,1.329469919204712
triplet_003,triplet_052,1.3855375051498413,0.91,1.3283764123916626
triplet_003,triplet_053,1.3855375051498413,0.94,1.3242510557174683
triplet_003,triplet_054,1.3855375051498413,0.91,1.336959719657898
triplet_003,triplet_055,1.3855375051498413,0.91,1.332391381263733
triplet_003,triplet_061,1.3855375051498413,1.0,1.2875803709030151
triplet_003,triplet_062,1.3855375051498413,1.0,1.2909042835235596
triplet_003,triplet_063,1.3855375051498413,0.98,1.2853648662567139
triplet_003,triplet_064,1.3855375051498413,0.97,1.287807583808899
triplet_003,triplet_065,1.3855375051498413,0.98,1.2764614820480347
triplet_003,triplet_071,1.3855375051498413,1.0,1.2587497234344482
triplet_003,triplet_072,1.3855375051498413,1.0,1.2517848014831543
triplet_003,triplet_073,1.3855375051498413,1.0,1.247590184211731
triplet_003,triplet_074,1.3855375051498413,1.0,1.2619389295578003
triplet_003,triplet_075,1.3855375051498413,1.0,1.249305009841919
triplet_003,triplet_081,1.3855375051498413,1.0,1.29622220993042
triplet_003,triplet_082,1.3855375051498413,0.99,1.2887318134307861
triplet_003,triplet_083,1.3855375051498413,1.0,1.2933099269866943
triplet_003,triplet_084,1.3855375051498413,1.0,1.3015578985214233
triplet_003,triplet_085,1.3855375051498413,1.0,1.300994873046875
triplet_003,triplet_091,1.3855375051498413,0.99,1.320340871810913
triplet_003,triplet_092,1.3855375051498413,0.97,1.3181049823760986
triplet_003,triplet_093,1.3855375051498413,1.0,1.3197293281555176
triplet_003,triplet_094,1.3855375051498413,0.96,1.3183865547180176
triplet_003,triplet_095,1.3855375051498413,0.98,1.316506028175354
triplet_004,triplet_001,1.3875576257705688,1.0,0.5988073348999023
triplet_004,triplet_002,1.3875576257705688,1.0,0.610927939414978
triplet_004,triplet_003,1.3875576257705688,1.0,0.5980429649353027
triplet_004,triplet_005,1.3875576257705688,1.0,0.5560728311538696
triplet_004,triplet_011,1.3875576257705688,1.0,1.2550464868545532
triplet_004,triplet_012,1.3875576257705688,1.0,1.2540297508239746
triplet_004,triplet_013,1.3875576257705688,1.0,1.2487430572509766
triplet_004,triplet_014,1.3875576257705688,1.0,1.2488070726394653
triplet_004,triplet_015,1.3875576257705688,1.0,1.2494053840637207
triplet_004,triplet_021,1.3875576257705688,1.0,1.2226533889770508
triplet_004,triplet_022,1.3875576257705688,1.0,1.219083547592163
triplet_004,triplet_023,1.3875576257705688,1.0,1.2207624912261963
triplet_004,triplet_024,1.3875576257705688,1.0,1.2182626724243164
triplet_004,triplet_025,1.3875576257705688,1.0,1.2181346416473389
triplet_004,triplet_031,1.3875576257705688,1.0,1.2897785902023315
triplet_004,triplet_032,1.3875576257705688,1.0,1.2869361639022827
triplet_004,triplet_033,1.3875576257705688,1.0,1.2878220081329346
triplet_004,triplet_034,1.3875576257705688,1.0,1.2894537448883057
triplet_004,triplet_035,1.3875576257705688,1.0,1.293267011642456
triplet_004,triplet_041,1.3875576257705688,1.0,1.1842843294143677
triplet_004,triplet_042,1.3875576257705688,1.0,1.1745975017547607
triplet_004,triplet_043,1.3875576257705688,1.0,1.1759088039398193
triplet_004,triplet_044,1.3875576257705688,1.0,1.1783835887908936
triplet_004,triplet_045,1.3875576257705688,1.0,1.180087685585022
triplet_004,triplet_051,1.3875576257705688,0.95,1.3251413106918335
triplet_004,triplet_052,1.3875576257705688,0.91,1.3246957063674927
triplet_004,triplet_053,1.3875576257705688,0.95,1.3211747407913208
triplet_004,triplet_054,1.3875576257705688,0.92,1.334022879600525
triplet_004,triplet_055,1.3875576257705688,0.95,1.3277353048324585
triplet_004,triplet_061,1.3875576257705688,0.99,1.285986065864563
triplet_004,triplet_062,1.3875576257705688,1.0,1.2889611721038818
triplet_004,triplet_063,1.3875576257705688,1.0,1.2877845764160156
triplet_004,triplet_064,1.3875576257705688,0.98,1.2868285179138184
triplet_004,triplet_065,1.3875576257705688,0.99,1.2779300212860107
triplet_004,triplet_071,1.3875576257705688,1.0,1.2764830589294434
triplet_004,triplet_072,1.3875576257705688,1.0,1.271948218345642
triplet_004,triplet_073,1.3875576257705688,1.0,1.2693761587142944
triplet_004,triplet_074,1.3875576257705688,1.0,1.2802871465682983
triplet_004,triplet_075,1.3875576257705688,1.0,1.2710682153701782
triplet_004,triplet_081,1.3875576257705688,0.99,1.292920708656311
triplet_004,triplet_082,1.3875576257705688,0.99,1.2866626977920532
triplet_004,triplet_083,1.3875576257705688,0.99,1.2916918992996216
triplet_004,triplet_084,1.3875576257705688,0.96,1.3060284852981567
triplet_004,triplet_085,1.3875576257705688,0.97,1.3140122890472412
triplet_004,triplet_091,1.3875576257705688,1.0,1.3246674537658691
triplet_004,triplet_092,1.3875576257705688,1.0,1.3184287548065186
triplet_004,triplet_093,1.3875576257705688,1.0,1.324539065361023
triplet_004,triplet_094,1.3875576257705688,1.0,1.322102665901184
triplet_004,triplet_095,1.3875576257705688,1.0,1.3214170932769775
triplet_005,triplet_001,1.3955624103546143,1.0,0.6039234399795532
triplet_005,triplet_002,1.3955624103546143,1.0,0.606449544429779
triplet_005,triplet_003,1.3955624103546143,1.0,0.6166837215423584
triplet_005,triplet_004,1.3955624103546143,1.0,0.5697134733200073
triplet_005,triplet_011,1.3955624103546143,1.0,1.240511178970337
triplet_005,triplet_012,1.3955624103546143,1.0,1.240460753440857
triplet_005,triplet_013,1.3955624103546143,1.0,1.236945629119873
triplet_005,triplet_014,1.3955624103546143,1.0,1.2351900339126587
triplet_005,triplet_015,1.3955624103546143,1.0,1.2382789850234985
triplet_005,triplet_021,1.3955624103546143,1.0,1.2307382822036743
triplet_005,triplet_022,1.3955624103546143,1.0,1.2270939350128174
triplet_005,triplet_023,1.3955624103546143,1.0,1.2297453880310059
triplet_005,triplet_024,1.3955624103546143,1.0,1.2264999151229858
triplet_005,triplet_025,1.3955624103546143,1.0,1.2239762544631958
triplet_005,triplet_031,1.3955624103546143,1.0,1.293735146522522
triplet_005,triplet_032,1.3955624103546143,1.0,1.2901663780212402
triplet_005,triplet_033,1.3955624103546143,1.0,1.286349892616272
triplet_005,triplet_034,1.3955624103546143,1.0,1.2914363145828247
triplet_005,triplet_035,1.3955624103546143,1.0,1.2917364835739136
triplet_005,triplet_041,1.3955624103546143,1.0,1.1821331977844238
triplet_005,triplet_042,1.3955624103546143,1.0,1.170573115348816
triplet_005,triplet_043,1.3955624103546143,1.0,1.1749367713928223
triplet_005,triplet_044,1.3955624103546143,1.0,1.1680094003677368
triplet_005,triplet_045,1.3955624103546143,1.0,1.1779298782348633
triplet_005,triplet_051,1.3955624103546143,0.95,1.3285232782363892
triplet_005,triplet_052,1.3955624103546143,0.97,1.3315658569335938
triplet_005,triplet_053,1.3955624103546143,0.97,1.3277769088745117
triplet_005,triplet_054,1.3955624103546143,0.96,1.3345593214035034
triplet_005,triplet_055,1.3955624103546143,0.97,1.3313673734664917
triplet_005,triplet_061,1.3955624103546143,1.0,1.2885226011276245
triplet_005,triplet_062,1.3955624103546143,1.0,1.2913638353347778
triplet_005,triplet_063,1.3955624103546143,1.0,1.285776972770691
triplet_005,triplet_064,1.3955624103546143,0.98,1.2891279458999634
triplet_005,triplet_065,1.3955624103546143,1.0,1.2743008136749268
triplet_005,triplet_071,1.3955624103546143,1.0,1.2444396018981934
triplet_005,triplet_072,1.3955624103546143,1.0,1.2397444248199463
triplet_005,triplet_073,1.3955624103546143,1.0,1.2380889654159546
triplet_005,triplet_074,1.3955624103546143,1.0,1.250277042388916
triplet_005,triplet_075,1.3955624103546143,1.0,1.237640619277954
triplet_005,triplet_081,1.3955624103546143,1.0,1.304026484489441
triplet_005,triplet_082,1.3955624103546143,0.99,1.2937487363815308
triplet_005,triplet_083,1.3955624103546143,1.0,1.2974514961242676
triplet_005,triplet_084,1.3955624103546143,1.0,1.3065767288208008
triplet_005,triplet_085,1.3955624103546143,0.99,1.3065080642700195
