forget_cluster,emb_variance_mean,emb_variance_max,pairwise_sim_mean,pairwise_sim_std,pairwise_sim_q90,pairwise_eucl_mean,centroid_norm,emb_norm_mean,emb_norm_std,effective_rank,isotropy,spread_over_centroid
triplet_001,0.0017538232496008277,0.004878845065832138,0.31278765201568604,0.18632978200912476,0.5657157897949219,1.1603107452392578,0.5714296698570251,1.0,3.5762788286319847e-08,24.594737409894577,0.0,2.0305399009637948
triplet_002,0.0016773244133219123,0.004121249075978994,0.34276267886161804,0.17741335928440094,0.5696077942848206,1.13499915599823,0.5965797901153564,1.0,4.61695606190915e-08,27.467943988050493,0.0,1.9025102338427575
triplet_003,0.0016852980479598045,0.0046715447679162025,0.3396383225917816,0.18856023252010345,0.5679208636283875,1.1362799406051636,0.5940080285072327,1.0,2.920019248620065e-08,26.039161417808874,0.0,1.9129033381260574
triplet_004,0.001744091627188027,0.005200778134167194,0.31660082936286926,0.20388555526733398,0.5957993865013123,1.153300166130066,0.5746901631355286,1.0,4.4604032467532306e-08,24.133522288668534,0.0,2.0068207881576083
triplet_005,0.001700262539088726,0.004092284478247166,0.33377471566200256,0.18696413934230804,0.5686765313148499,1.1422091722488403,0.5891512632369995,1.0,4.61695606190915e-08,26.461441213368406,0.0,1.9387366938214654
triplet_011,0.0019359722500666976,0.005984054878354073,0.24141496419906616,0.24900317192077637,0.6209447979927063,1.2121323347091675,0.5065438151359558,1.0,3.5762788286319847e-08,20.984421692390626,0.0,2.392946668164989
triplet_012,0.0019400325836613774,0.0077506788074970245,0.23982396721839905,0.25354745984077454,0.6365624666213989,1.2125869989395142,0.505002498626709,1.0,3.5762788286319847e-08,20.74045902521366,0.0,2.4011504937836796
triplet_013,0.0019676710944622755,0.006142884958535433,0.22899414598941803,0.2551766633987427,0.6061350703239441,1.2219423055648804,0.49438270926475525,1.0,3.953724814209636e-08,20.766446895009018,0.0,2.471652593558844
triplet_014,0.001935812528245151,0.007674640975892544,0.24147754907608032,0.24017810821533203,0.6197870969772339,1.2132564783096313,0.5066043734550476,1.0,4.129530850605079e-08,21.550592745290928,0.0,2.3948795981274467
triplet_015,0.001987854251638055,0.007609776686877012,0.22108569741249084,0.2347470223903656,0.5763817429542542,1.231252908706665,0.4864812195301056,1.0,3.371747681057968e-08,21.097482705567874,0.0,2.530936158020525
triplet_021,0.001969160744920373,0.006803320720791817,0.2284104973077774,0.20805394649505615,0.5445845127105713,1.2287874221801758,0.49380388855934143,1.0,3.674276882748018e-08,22.968133751112223,0.0,2.4884117979814366
triplet_022,0.0019812986720353365,0.006210616324096918,0.2236543595790863,0.1895749270915985,0.5044649839401245,1.235288143157959,0.4890616238117218,1.0,3.674276882748018e-08,24.849769116510192,0.0,2.5258333163215405
triplet_023,0.0020336287561804056,0.005911247339099646,0.2031494826078415,0.1926749050617218,0.48821166157722473,1.251605749130249,0.4680667519569397,1.0,3.7697287069704544e-08,24.766165559657612,0.0,2.673989861269599
triplet_024,0.0019996867049485445,0.006546901073306799,0.21644927561283112,0.20550476014614105,0.5382065773010254,1.2389793395996094,0.48178863525390625,1.0,3.371747681057968e-08,23.1348136186911,0.0,2.5716242537490697
triplet_025,0.0020234016701579094,0.006378068123012781,0.20715691149234772,0.18752418458461761,0.4723052978515625,1.2486721277236938,0.4722433388233185,1.0,3.264680970005429e-08,24.975482092355513,0.0,2.644128619865748
triplet_031,0.0019753079395741224,0.003846367821097374,0.22600187361240387,0.12169982492923737,0.36764243245124817,1.239854097366333,0.49140799045562744,1.0,3.4755181843593164e-08,33.982614777791305,0.0,2.5230645847186075
triplet_032,0.0020443256944417953,0.004053232725709677,0.19895809888839722,0.12981610000133514,0.3571392595767975,1.2608762979507446,0.4636582136154175,1.0,3.1539812539449485e-08,32.46527420554933,0.0,2.719408954537753
triplet_033,0.0019763752352446318,0.005327777937054634,0.22558364272117615,0.12996667623519897,0.3709971010684967,1.239347219467163,0.4909908175468445,1.0,3.0392524053013403e-08,32.19510959030457,0.0,2.5241759625146543
triplet_034,0.0019857261795550585,0.004718935117125511,0.22191952168941498,0.12972041964530945,0.36621856689453125,1.2423313856124878,0.48732033371925354,1.0,3.862822239852903e-08,31.79702892047179,0.0,2.5493116122016737
triplet_035,0.0020077151712030172,0.0038734369445592165,0.21330344676971436,0.12584061920642853,0.3576658070087433,1.2499057054519653,0.47857850790023804,1.0,3.862822239852903e-08,33.83100869431849,0.0,2.611704631150119
triplet_041,0.0017476457869634032,0.004470194689929485,0.31520822644233704,0.14793410897254944,0.5199116468429565,1.1625592708587646,0.5735015273094177,1.0,3.4755181843593164e-08,28.514424189778055,0.0,2.027124977875667
triplet_042,0.0017205490730702877,0.004052242264151573,0.32582569122314453,0.15068382024765015,0.5365456342697144,1.1529245376586914,0.5825024843215942,1.0,3.862822239852903e-08,28.249537030409773,0.0,1.9792611511372926
triplet_043,0.0017218346474692225,0.004219912923872471,0.3253219723701477,0.14942008256912231,0.5384442210197449,1.153444528579712,0.5820786356925964,1.0,3.4755181843593164e-08,27.568279009336003,0.0,1.9815957120763688
triplet_044,0.001650073449127376,0.004416896495968103,0.35344064235687256,0.1427019238471985,0.5458378791809082,1.1289072036743164,0.6052865386009216,1.0,3.674276882748018e-08,27.264558004765664,0.0,1.865078986034793
triplet_045,0.001657356508076191,0.004037977661937475,0.35058680176734924,0.14041192829608917,0.5402041673660278,1.13201904296875,0.6029718518257141,1.0,4.2981518788565154e-08,28.027490789252713,0.0,1.8773994831452834
triplet_051,0.002248945878818631,0.006687074899673462,0.11878038197755814,0.1571195423603058,0.33677223324775696,1.3216519355773926,0.36933016777038574,1.0,2.665600717932648e-08,31.448410407819225,0.0,3.5785106414569134
triplet_052,0.0022784171160310507,0.006069180555641651,0.1072324812412262,0.1521609127521515,0.30295291543006897,1.3307799100875854,0.35367757081985474,1.0,3.1539812539449485e-08,32.16426326382171,0.0,3.7626924065405793
triplet_053,0.002215718850493431,0.006205290090292692,0.13179996609687805,0.17087216675281525,0.3468647599220276,1.3103809356689453,0.38621750473976135,1.0,3.5762788286319847e-08,29.51455086579817,0.0,3.3928574432479386
triplet_054,0.002259019762277603,0.005986095871776342,0.11483307182788849,0.15186338126659393,0.30432310700416565,1.3251012563705444,0.3640555143356323,1.0,3.4755181843593164e-08,32.56104885103106,0.0,3.639832949072978
triplet_055,0.0022316467948257923,0.005361365154385567,0.1255587935447693,0.15270991623401642,0.3243672847747803,1.3167169094085693,0.37821635603904724,1.0,4.4604032467532306e-08,31.147493896176897,0.0,3.481385424993706
triplet_061,0.002415483118966222,0.004911423195153475,0.05352496728301048,0.11928427964448929,0.20333388447761536,1.3727926015853882,0.26917368173599243,1.0,3.953724814209636e-08,36.92939123121871,0.0,5.100025354380052
triplet_062,0.0023669174406677485,0.005145460367202759,0.07255472987890244,0.12545917928218842,0.2517111897468567,1.3584691286087036,0.3018338084220886,1.0,3.7697287069704544e-08,37.1775966395112,0.0,4.500718907899811
triplet_063,0.002307551447302103,0.004487210419028997,0.09581660479307175,0.13625016808509827,0.2900875508785248,1.3405606746673584,0.33749115467071533,1.0,4.61695606190915e-08,35.51069298818112,0.0,3.9721357318988755
triplet_064,0.0023908063303679228,0.004910080228000879,0.06319429725408554,0.12117885798215866,0.21759584546089172,1.3656221628189087,0.28623485565185547,1.0,2.920019248620065e-08,37.570330821534355,0.0,4.7709848603480385
triplet_065,0.002374407835304737,0.006313113495707512,0.06961977481842041,0.1268775761127472,0.22828952968120575,1.3605905771255493,0.2970309257507324,1.0,3.674276882748018e-08,36.34207829744291,0.0,4.580636085911651
triplet_071,0.0017077125376090407,0.004084498155862093,0.3308555483818054,0.16684551537036896,0.5337187647819519,1.1476263999938965,0.5867183208465576,1.0,3.264680970005429e-08,30.753554847685308,0.0,1.9560091430893483
triplet_072,0.0018256357870995998,0.004657367710024118,0.2846488356590271,0.16577671468257904,0.4988846480846405,1.187574863433838,0.5467685461044312,1.0,4.0425838676583226e-08,29.678510474172967,0.0,2.171988260654289
triplet_073,0.0017760609043762088,0.004229631274938583,0.30407410860061646,0.16582851111888885,0.5186633467674255,1.1709096431732178,0.5639083385467529,1.0,3.1539812539449485e-08,30.86728486525698,0.0,2.076418387766293
triplet_074,0.0017256679711863399,0.0041870372369885445,0.32381996512413025,0.15229900181293488,0.5189312100410461,1.1552612781524658,0.5808128118515015,1.0,3.862822239852903e-08,32.965079375833255,0.0,1.9890423464829416
triplet_075,0.0016773296520113945,0.004495480563491583,0.3427606225013733,0.16130796074867249,0.5347933769226074,1.1377421617507935,0.596578061580658,1.0,3.4755181843593164e-08,30.909532812307166,0.0,1.9071136453397215
triplet_081,0.002249018754810095,0.006529285106807947,0.11875186860561371,0.14939716458320618,0.31148573756217957,1.3221935033798218,0.36929234862327576,1.0,3.5762788286319847e-08,32.015421337267846,0.0,3.5803436174861667
triplet_082,0.0022467963863164186,0.0057853106409311295,0.11962264031171799,0.14766821265220642,0.3075939118862152,1.3217830657958984,0.37044593691825867,1.0,4.5393544922944784e-08,32.81643850045874,0.0,3.56808628214907
triplet_083,0.0022395122796297073,0.006589083466678858,0.12247683107852936,0.16135117411613464,0.348969966173172,1.3184032440185547,0.3742021918296814,1.0,3.1539812539449485e-08,31.395938965615606,0.0,3.523237631431693
triplet_084,0.0022759074345231056,0.005111783277243376,0.10821590572595596,0.15127438306808472,0.3050508499145508,1.3299715518951416,0.3550374507904053,1.0,3.953724814209636e-08,32.11237413334176,0.0,3.7460035523978688
triplet_085,0.0022349455393850803,0.005766653921455145,0.12426622956991196,0.15465407073497772,0.33614447712898254,1.3175861835479736,0.3765380382537842,1.0,4.380029139383623e-08,31.299423691958417,0.0,3.499211366953394
triplet_091,0.002179635688662529,0.004418698139488697,0.14593864977359772,0.16801822185516357,0.4187314212322235,1.2996419668197632,0.4037571847438812,1.0,3.1539812539449485e-08,29.18831154901372,0.0,3.2188701921036436
