forget_cluster,eval_cluster,split,sample_index,layer,log_ppl_ratio
triplet_001,triplet_001,validation,37,L2_locality,0.20654106702918193
triplet_001,triplet_001,validation,38,L2_locality,0.13439640301052688
triplet_001,triplet_001,validation,39,L2_locality,0.0844657667901962
triplet_001,triplet_001,validation,40,L2_locality,0.03482939114167984
triplet_001,triplet_001,validation,41,L2_locality,0.11148641170439517
triplet_001,triplet_001,validation,42,L2_locality,0.13652187254263096
triplet_001,triplet_001,validation,43,L2_locality,0.10908637544405597
triplet_001,triplet_001,validation,44,L2_locality,0.09938486009168461
triplet_001,triplet_001,validation,45,L2_locality,0.20155291872184233
triplet_001,triplet_001,validation,46,L2_locality,0.21229122648516993
triplet_001,triplet_001,validation,47,L2_locality,0.07607684334980527
triplet_001,triplet_001,validation,48,L2_locality,0.1579344143026179
triplet_001,triplet_001,validation,49,L2_locality,0.12836432766258676
triplet_001,triplet_001,test,0,L2_locality,0.16236888073164446
triplet_001,triplet_001,test,1,L2_locality,0.2586008631509391
triplet_001,triplet_001,test,2,L2_locality,0.2395671884098592
triplet_001,triplet_001,test,3,L2_locality,0.09841042341735687
triplet_001,triplet_001,test,4,L2_locality,0.12454272464156155
triplet_001,triplet_001,test,5,L2_locality,0.10498835339078415
triplet_001,triplet_001,test,6,L2_locality,0.0626402826275771
triplet_001,triplet_001,test,7,L2_locality,0.10037918530762203
triplet_001,triplet_001,test,8,L2_locality,0.3185431165934545
triplet_001,triplet_001,test,9,L2_locality,0.085454751122906
triplet_001,triplet_001,test,10,L2_locality,0.5191558498999337
triplet_001,triplet_001,test,11,L2_locality,0.2786914111555883
triplet_001,triplet_001,test,12,L2_locality,0.29920709896102826
triplet_001,triplet_001,test,13,L2_locality,0.4367353146197495
triplet_001,triplet_001,test,14,L2_locality,0.24603163165684455
triplet_001,triplet_001,test,15,L2_locality,0.20778156172124998
triplet_001,triplet_001,test,16,L2_locality,0.1792195767959508
triplet_001,triplet_001,test,17,L2_locality,0.2784326290640747
triplet_001,triplet_001,test,18,L2_locality,0.10817741892893971
triplet_001,triplet_001,test,19,L2_locality,0.07093575144530606
triplet_001,triplet_001,test,20,L2_locality,0.2031497794712114
triplet_001,triplet_001,test,21,L2_locality,0.09178237840599666
triplet_001,triplet_001,test,22,L2_locality,0.20130685670503537
triplet_001,triplet_001,test,23,L2_locality,0.14813760898522357
triplet_001,triplet_001,test,24,L2_locality,0.10459260050961496
triplet_001,triplet_001,test,25,L2_locality,0.0546817078093134
triplet_001,triplet_001,test,26,L2_locality,0.2503508260864204
triplet_001,triplet_001,test,27,L2_locality,0.2597212574541377
triplet_001,triplet_001,test,28,L2_locality,0.22538822116803367
triplet_001,triplet_001,test,29,L2_locality,0.1048256132647569
triplet_001,triplet_001,test,30,L2_locality,0.028900865487755764
triplet_001,triplet_001,test,31,L2_locality,0.05433435096332952
triplet_001,triplet_001,test,32,L2_locality,0.1932986154251056
triplet_001,triplet_001,test,33,L2_locality,0.10658998801784514
triplet_001,triplet_001,test,34,L2_locality,0.22059378039274097
triplet_001,triplet_001,test,35,L2_locality,0.11133068264433012
triplet_001,triplet_001,test,36,L2_locality,0.13305478605421714
triplet_001,triplet_001,test,37,L2_locality,0.09674204704443022
triplet_001,triplet_001,test,38,L2_locality,0.15915449751242028
triplet_001,triplet_001,test,39,L2_locality,0.1821256895912916
triplet_001,triplet_001,test,40,L2_locality,0.1763375605572034
triplet_001,triplet_001,test,41,L2_locality,0.08040042543803774
triplet_001,triplet_001,test,42,L2_locality,0.19060977765405682
triplet_001,triplet_001,test,43,L2_locality,0.20409535634351522
triplet_001,triplet_001,test,44,L2_locality,0.07180581286356605
triplet_001,triplet_001,test,45,L2_locality,0.08907963005368885
triplet_001,triplet_001,test,46,L2_locality,0.09531017980432493
triplet_001,triplet_001,test,47,L2_locality,0.1950605825713843
triplet_001,triplet_001,test,48,L2_locality,0.07942430578095465
triplet_001,triplet_001,test,49,L2_locality,0.10366989817991866
triplet_001,triplet_011,test,0,L3_spillover,0.14735295895620795
triplet_001,triplet_011,test,1,L3_spillover,0.10055446452572696
triplet_001,triplet_011,test,2,L3_spillover,0.08733494922995486
triplet_001,triplet_011,test,3,L3_spillover,0.06587747301720655
triplet_001,triplet_011,test,4,L3_spillover,0.022697903675670632
triplet_001,triplet_011,test,5,L3_spillover,0.07725579321157519
triplet_001,triplet_011,test,6,L3_spillover,0.04143966805915492
triplet_001,triplet_011,test,7,L3_spillover,0.01087504538887541
triplet_001,triplet_011,test,8,L3_spillover,0.08273812709520871
triplet_001,triplet_011,test,9,L3_spillover,0.034732806918891905
triplet_001,triplet_011,test,10,L3_spillover,0.016319491828601186
triplet_001,triplet_011,test,11,L3_spillover,0.02559062206318836
triplet_001,triplet_011,test,12,L3_spillover,0.19890693508376878
triplet_001,triplet_011,test,13,L3_spillover,0.1035732050837306
triplet_001,triplet_011,test,14,L3_spillover,0.004045079193808639
triplet_001,triplet_011,test,15,L3_spillover,0.03943656378548242
triplet_001,triplet_011,test,16,L3_spillover,0.025617164370300326
triplet_001,triplet_011,test,17,L3_spillover,0.127833371509885
triplet_001,triplet_011,test,18,L3_spillover,0.021506205220963682
triplet_001,triplet_011,test,19,L3_spillover,0.03350641188984272
triplet_001,triplet_011,test,20,L3_spillover,0.11599194179646603
triplet_001,triplet_011,test,21,L3_spillover,0.05292240145434253
triplet_001,triplet_011,test,22,L3_spillover,0.052405847812154134
triplet_001,triplet_011,test,23,L3_spillover,0.035051638058918796
triplet_001,triplet_011,test,24,L3_spillover,0.08734938611909432
triplet_001,triplet_011,test,25,L3_spillover,0.061485083650681095
triplet_001,triplet_011,test,26,L3_spillover,0.18800339026138552
triplet_001,triplet_011,test,27,L3_spillover,0.0746321880261687
triplet_001,triplet_011,test,28,L3_spillover,0.03995205101171497
triplet_001,triplet_011,test,29,L3_spillover,0.019570096194097296
triplet_001,triplet_011,test,30,L3_spillover,0.054724899689246466
triplet_001,triplet_011,test,31,L3_spillover,0.03293710907408551
triplet_001,triplet_011,test,32,L3_spillover,0.04421772947748663
triplet_001,triplet_011,test,33,L3_spillover,0.05625384570952169
triplet_001,triplet_011,test,34,L3_spillover,0.040467949552846424
triplet_001,triplet_011,test,35,L3_spillover,0.01707906682913936
triplet_001,triplet_011,test,36,L3_spillover,0.023434592547744222
triplet_001,triplet_011,test,37,L3_spillover,0.04798521736222069
triplet_001,triplet_011,test,38,L3_spillover,0.06809897157304771
triplet_001,triplet_011,test,39,L3_spillover,0.044068433137087644
triplet_001,triplet_011,test,40,L3_spillover,0.019827960105969555
triplet_001,triplet_011,test,41,L3_spillover,0.029815873225154867
triplet_001,triplet_011,test,42,L3_spillover,0.05338426715687083
triplet_001,triplet_011,test,43,L3_spillover,0.019672765598704713
triplet_001,triplet_011,test,44,L3_spillover,0.00924505814405099
triplet_001,triplet_011,test,45,L3_spillover,0.01583564366133836
triplet_001,triplet_011,test,46,L3_spillover,0.020468550855395014
triplet_001,triplet_011,test,47,L3_spillover,0.02848489800868634
triplet_001,triplet_011,test,48,L3_spillover,0.02134878275120472
